Time [s],SE Curr. [A],SE Volt. [V],SE Temp. [K],Chrg Flag,file_name,folder,SE SoC
0.0,0.0,3.27038987,318.00187999999997,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
6.0,0.0,3.27008469,318.00187999999997,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
12.0,0.0,3.2699321,318.00187999999997,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
18.0,0.0,3.2699321,318.00187999999997,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
24.0,0.0,3.27008469,318.00187999999997,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
30.0,0.0,3.27023728,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
36.0,0.0,3.2699321,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
42.0,0.0,3.27008469,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
48.0,0.0,3.27008469,318.00187999999997,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
54.0,0.0,3.26977951,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
60.0,0.0,3.2699321,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
61.01,0.0,3.2699321,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
62.01,0.0,3.27008469,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
63.01,0.0,3.2699321,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
64.01,0.0,3.27023728,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
65.0,0.0,3.27038987,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
66.0,0.0,3.27008469,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
67.0,0.0,3.27023728,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
68.0,0.0,3.27023728,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
69.0,0.0,3.27023728,317.98649,False,TIX2668_3_Cell_1-9_EA7479_SDI_50Ah_Test_6_CCP_-5C_Rev6B.006,CCP,0.025241423009611682
