SoC_fraction,OCV_V
0.0,2.88325
0.000399,2.895233
0.000892,2.910016
0.001442,2.924569
0.002009,2.939055
0.002636,2.953387
0.003287,2.967678
0.003971,2.981913
0.004707,2.996137
0.005479,3.010329
0.00629,3.024472
0.007144,3.038566
0.008043,3.052688
0.008995,3.066797
0.009999,3.080826
0.011055,3.094847
0.012171,3.10891
0.013344,3.12287
0.014577,3.136891
0.015879,3.150884
0.017242,3.16475
0.018675,3.178751
0.020182,3.192651
0.021774,3.206622
0.023443,3.220472
0.025191,3.234399
0.02704,3.248316
0.028992,3.262164
0.031059,3.276094
0.033228,3.289916
0.035511,3.30378
0.037938,3.317677
0.04051,3.331533
0.043281,3.345437
0.04631,3.3594
0.049851,3.373503
0.054777,3.387904
0.065485,3.402173
0.08417,3.416025
0.105755,3.429668
0.12353,3.443247
0.136816,3.456849
0.148621,3.470552
0.16041,3.484245
0.172332,3.497967
0.185859,3.511767
0.201295,3.525474
0.216522,3.539256
0.236066,3.553051
0.26003,3.566816
0.288694,3.580543
0.323188,3.594276
0.361679,3.607979
0.400419,3.621681
0.436715,3.635367
0.468637,3.64901
0.494543,3.662674
0.514545,3.676302
0.529331,3.689862
0.541464,3.703492
0.55406,3.717295
0.56842,3.731021
0.583646,3.744703
0.598894,3.758409
0.61375,3.772143
0.628203,3.785802
0.642139,3.799499
0.655768,3.813166
0.668964,3.82691
0.682151,3.840576
0.695077,3.854276
0.70789,3.867946
0.720636,3.881671
0.733384,3.895338
0.745883,3.909045
0.758392,3.922768
0.77069,3.936466
0.782857,3.95013
0.794852,3.963813
0.806632,3.977514
0.818238,3.99122
0.829653,4.004891
0.840913,4.018591
0.851951,4.032319
0.862805,4.046008
0.873699,4.059713
0.884423,4.073368
0.894981,4.087076
0.905571,4.100773
0.916066,4.114489
0.926445,4.12819
0.936726,4.141846
0.94678,4.155548
0.956702,4.169235
0.966235,4.182889
0.975402,4.196568
0.984141,4.210265
0.992399,4.223868
1.0,4.2375
